,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
8am in Charlotte.mp3,0.24345504,0.24416614,0.25119016,0.50364494,0.27144435,0.13211945,0.18344243,0.3075767,0.4768109,0.3294375,0.46657655,0.42227906
90-90 Nabbe Nabbe (From _Jatt Nuu Chudail Takri_).mp3,0.19274108,0.24825335,0.63726217,0.447849,0.18437639,0.1790364,0.27434662,0.2656113,0.21652465,0.36406866,0.2484767,0.14542882
911 (Remix).mp3,0.30845708,0.1948585,0.22879201,0.16304924,0.34962887,0.14256233,0.257523,0.32265514,0.18210524,0.25396776,0.18914825,0.41402787
9lives).mp3,0.56333244,0.23602816,0.22079775,0.4338197,0.22110453,0.19766936,0.3776736,0.45987713,0.17891337,0.21989821,0.63556886,0.6012762
9mm.mp3,0.65291137,0.3956806,0.27758646,0.25419053,0.22543713,0.27935943,0.4725988,0.36049247,0.28133652,0.3036697,0.44090948,0.7624564
A Bar Song (Tipsy).mp3,0.14353004,0.2559869,0.20671074,0.16431627,0.30298078,0.23188192,0.3868348,0.2498783,0.42951253,0.6264468,0.28014657,0.19844861
A Cara do Crime (Nos Incomoda).mp3,0.4472406,0.34019783,0.42442602,0.3053496,0.43282127,0.2900941,0.20123403,0.2065783,0.29877946,0.50259984,0.29530406,0.33813444
A Cold Sunday.mp3,0.5352743,0.32412282,0.3663944,0.3529678,0.54513586,0.47321758,0.28025365,0.2766464,0.2602733,0.397026,0.30148435,0.42057574
A Mi.mp3,0.5961578,0.50352126,0.30127427,0.26434568,0.30003533,0.32441816,0.23843476,0.4190803,0.55247056,0.2625664,0.361095,0.357911
A Puro Dolor.mp3,0.26276836,0.44611976,0.41536006,0.44851056,0.5423968,0.3755403,0.3688148,0.21492897,0.34478047,0.3606224,0.25970328,0.3230474
A Real Playa.mp3,0.5812502,0.38872477,0.36058182,0.36766672,0.34560698,0.4205838,0.45423436,0.5476147,0.34354347,0.32275248,0.4737649,0.5152378
A Sky Full of Stars.mp3,0.2571387,0.6586062,0.21509111,0.23329388,0.122332826,0.28165987,0.5123135,0.19001307,0.26579946,0.1850787,0.43921122,0.31533036
a thousand years.mp3,0.13467015,0.10448987,0.35179478,0.2598455,0.117504016,0.36830008,0.13737375,0.19581881,0.08938732,0.23623835,0.6566162,0.17071997
A Tu Merced.mp3,0.3976707,0.26578844,0.5079776,0.29833552,0.38883498,0.27590063,0.31330588,0.34978846,0.24453141,0.37047902,0.19416726,0.29584497
Aa.mp3,0.27727067,0.22886056,0.2586913,0.28847986,0.5155304,0.4416114,0.43933058,0.28028458,0.34792346,0.55947685,0.31780586,0.4031933
Aap Ki Kashish.mp3,0.1476534,0.20275187,0.27011737,0.5495211,0.31185845,0.27782577,0.3594747,0.3399153,0.5727493,0.28058517,0.22609279,0.2587529
About Damn Time.mp3,0.39798167,0.4839597,0.4218025,0.4778542,0.42876503,0.43582436,0.38031176,0.40253654,0.41890308,0.3934493,0.5584256,0.38257667
About You.mp3,0.13750209,0.3645114,0.79247594,0.31791958,0.41422245,0.26587647,0.52680486,0.20255198,0.1633941,0.41271794,0.1469896,0.16484945
Acapulco.mp3,0.3397416,0.33836007,0.49891412,0.3707932,0.32769835,0.36468616,0.3503648,0.43442088,0.30743223,0.39684713,0.4369363,0.3149155
Adios Amor.mp3,0.15992507,0.2222671,0.28565416,0.27513894,0.5736823,0.24709876,0.34772587,0.40544727,0.24239068,0.38042942,0.2762897,0.3767699
Admirin' You (feat. Preston Pablo).mp3,0.44506422,0.29487017,0.1863887,0.29783043,0.24610355,0.4886097,0.19609465,0.2676392,0.4620287,0.20533445,0.30324134,0.22991724
Adventure of a Lifetime.mp3,0.19668347,0.14322047,0.37588996,0.16901402,0.30426884,0.12274966,0.15623839,0.42334735,0.2614619,0.60820705,0.19331819,0.17035942
Aesthetic.mp3,0.099536225,0.3170291,0.434241,0.20394154,0.24985786,0.13092747,0.38416296,0.36685404,0.16640493,0.40096676,0.12900455,0.14269738
After LIKE.mp3,0.43138137,0.37060958,0.4134983,0.26487237,0.3636292,0.2401068,0.2235077,0.3076014,0.2697984,0.40470314,0.2596667,0.30590445
After Party.mp3,0.3798494,0.22412334,0.38244915,0.23453034,0.381813,0.30325657,0.30988038,0.33360785,0.37843832,0.605205,0.40564254,0.41392252
"After The Storm (feat. Tyler, The Creator & Bootsy Collins).mp3",0.3185914,0.25967824,0.30056155,0.29343405,0.47403824,0.3603791,0.40356714,0.39251146,0.3200354,0.39951175,0.34590468,0.465706
again.mp3,0.31781706,0.31004167,0.4608826,0.40518245,0.40693608,0.25119308,0.4066414,0.35975713,0.23044008,0.3445868,0.24816744,0.38299167
Agora Hills.mp3,0.2799102,0.27493674,0.21611571,0.2684869,0.2870033,0.35871035,0.4587947,0.38783738,0.38380438,0.25956935,0.33300716,0.41723752
Aguacero.mp3,0.34953576,0.49031988,0.3074871,0.1818687,0.26047546,0.27317518,0.5444855,0.31996098,0.3765704,0.4194651,0.36874253,0.5853539
Ah-Bop.mp3,0.44410917,0.2710401,0.2355802,0.22542359,0.34585464,0.37186185,0.2551227,0.30062932,0.3006034,0.22305739,0.3451141,0.29804862
