,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
911 (Remix).mp3,-138.33516,100.82562,-29.922749,-4.8532176,-17.141577,-16.134485,-17.52371,-7.2905765,-18.29377,-15.198821,0.15967184,-11.12258,-7.498361,-2.7254171,-13.461666,2.0826392,-16.55738,-0.45925686,-7.398885,-2.5635216
9lives).mp3,-152.37323,61.49093,-25.989708,12.527842,-10.316161,-4.8283663,-7.512809,-3.175674,-10.108611,-5.849161,-9.118985,-4.1240916,-6.5683055,-1.4642026,-3.1553066,-0.12682614,-2.436011,-4.892745,-7.680304,-1.5519515
9mm.mp3,-67.77819,101.34657,-2.7729764,44.10565,24.62899,21.286285,3.5162678,9.617301,4.656192,11.209515,-1.9177666,2.8258405,1.2426157,1.5191448,-0.34990448,6.789708,-5.0251245,-4.4036674,-5.6512713,3.5199344
A Bar Song (Tipsy).mp3,-135.5989,86.60998,-8.959051,19.893333,12.178729,11.500644,2.8279326,9.65471,-6.8670444,2.8893733,-7.560765,-0.52468,-2.9279287,-8.776103,-9.512857,-4.8588567,-8.899701,-3.3370438,-11.334052,-11.815692
A Cara do Crime (Nos Incomoda).mp3,-109.86415,98.55469,8.497331,9.002382,-4.200623,-3.4002354,-3.9528012,5.190804,-10.208108,-0.90606064,-12.691225,-5.4613485,-3.9451864,-8.751226,0.33944726,-1.2256099,-6.7114153,1.2662525,-3.7682369,-1.2447642
A Cold Sunday.mp3,-9.913931,93.84786,14.722886,15.871319,0.7361886,11.552587,-3.7606053,-1.5441213,0.52877116,0.034625016,-12.372065,5.55804,-3.5164535,-5.144521,-3.2759938,0.8015745,-7.2902913,-5.9993477,-8.999264,-0.5885117
A Mi.mp3,-160.40518,68.03258,23.814753,21.076874,-11.092559,-2.7572591,-4.3953943,-8.291476,0.36374137,0.95962346,-8.871179,-3.4906096,-1.3671391,-0.9767116,-1.4532295,-2.213346,-8.286302,-1.6417087,-10.819298,-3.469102
A Puro Dolor.mp3,-87.625145,86.78282,20.74576,15.25462,18.151375,6.865901,2.6392837,5.8381376,1.1203468,12.677436,7.4336805,9.389512,0.0944485,6.7729974,3.917104,6.053852,0.33818385,9.441568,3.1172216,0.8348431
A Real Playa.mp3,-53.547348,72.49087,19.122992,15.851715,1.246408,7.796703,-6.4057956,1.8964382,-1.2066648,4.781264,-1.074643,3.9452603,0.52170783,5.3413258,0.49469778,6.203097,0.7260382,4.728983,-0.88472944,1.9986633
A Sky Full of Stars.mp3,-163.44504,168.3274,-2.6239464,15.692086,2.6763864,9.416265,-2.4246607,-2.3366675,-3.8946288,-8.197046,-5.050714,-3.5068314,-2.418241,-4.75513,-5.179235,-2.4723554,-6.699373,-2.8303852,-3.7821631,-4.1697645
a thousand years.mp3,-238.16525,155.15247,-11.76834,18.060913,8.335317,1.3206729,-0.14734869,1.2494487,-5.3792696,-16.767962,-7.7537413,-7.9037056,-8.572567,-2.82456,-9.646123,-11.943678,-10.246002,-4.8165784,-10.405346,-1.6384445
A Tu Merced.mp3,-98.80072,75.217674,-21.832022,-9.091561,-3.6360083,-3.6636558,-15.501292,-3.5612507,-23.720577,-7.8129907,-6.8816137,-9.606784,-8.59674,-4.2019963,-11.037872,-6.079007,-9.368012,-5.107811,-6.906986,-3.8683915
Aa.mp3,-92.238304,113.46094,-28.412943,6.0689836,-1.4445416,2.7805617,2.5907588,-1.419101,-6.8911104,5.662438,-1.1623713,-4.3638268,-5.503764,-3.275817,-2.5500185,6.2002034,-6.4854407,1.6535658,-4.9342566,-3.5395935
Aap Ki Kashish.mp3,-133.70741,44.84864,8.707736,10.212468,-4.061109,11.002713,3.4367526,1.0627464,-12.845346,6.4384885,3.2082093,-5.7311454,-7.2956543,-2.9090958,-8.836497,-3.2520728,-4.590127,3.0827768,-5.818073,-0.6132291
About Damn Time.mp3,-110.06198,85.55933,5.669795,32.190174,11.421767,8.920772,3.0506585,4.3525624,0.5098092,3.4966252,-3.4698052,-0.57788295,-1.0262326,0.06649849,-0.7179044,0.5431472,0.5894396,2.8707185,0.5604208,4.0658317
About You.mp3,-142.2645,117.09793,-27.882643,12.99909,-2.6104915,1.7275897,-6.553413,0.34270653,-10.655038,-8.269621,-10.056185,-7.5794945,-9.719638,-5.353544,-9.7580805,-4.426966,-7.5031457,-1.3994799,0.35893032,0.5076444
Acapulco.mp3,-91.21807,73.2727,14.002389,31.09583,14.960801,12.795599,5.347778,11.334587,-0.9820264,6.866226,0.87576985,4.555373,-0.47863433,2.337836,-1.4390504,0.014158499,-1.3626562,1.1983811,-5.04186,2.0398307
Adios Amor.mp3,-104.602,74.59166,14.1361265,26.952576,7.995356,14.284479,2.0420218,-2.6615925,-1.3124547,2.345349,-2.8739448,4.007665,-9.008784,1.4676466,-6.4085674,-1.3913419,-0.93643975,5.1905594,-0.4647773,2.8267026
Admirin' You (feat. Preston Pablo).mp3,-135.91402,95.96316,8.060927,16.639894,-9.864571,-6.273863,-13.547381,-5.203754,-10.203159,-4.249518,-3.1826134,-4.8043313,-6.0443177,-1.9976755,-3.8359141,-3.1475945,-7.4939647,0.5519963,-3.6941228,-1.7170677
Adventure of a Lifetime.mp3,-42.77942,106.712494,-24.903288,8.100102,-12.897978,6.1298738,-10.567992,6.194113,-4.2941265,9.329228,-9.792344,-1.1972641,0.20170017,-1.3847015,1.3431746,1.979001,4.744019,5.1595826,0.3982268,-2.0473702
Aesthetic.mp3,-263.4925,176.25868,17.47113,-7.0526967,-12.683231,-7.4923773,-11.993226,-13.382082,-13.883676,-11.643372,-8.455889,-2.051324,0.30492565,-1.4173038,-4.5210857,-3.7570317,-3.1834886,0.33563632,1.9537325,-0.63156205
After LIKE.mp3,-0.47400242,39.107838,2.1077707,12.118347,0.24086976,-2.0502205,0.21859704,-2.6694498,-0.045643713,0.68499404,-7.964094,0.46303198,-5.505835,-1.0192221,-7.281758,0.52864856,-7.6530323,-3.966104,-5.8064275,-3.48523
After Party.mp3,-117.40751,90.14015,6.3729434,25.104008,1.2471284,7.976684,-0.1681974,13.451016,-10.135595,7.410775,4.7780466,0.7239572,0.18439052,2.2955754,-3.449496,0.93846595,-2.2468235,-2.682406,-5.4673457,0.500983
"After The Storm (feat. Tyler, The Creator & Bootsy Collins).mp3",-76.30387,120.89475,7.3186436,6.6018133,5.2367926,6.2829266,-5.2670727,-0.28113133,-1.671905,0.07876398,-3.752929,-3.5144134,-6.797415,-1.2949861,-0.5291864,1.3384196,-0.3220146,-1.0337319,-0.805059,-0.14299795
again.mp3,-80.03255,89.45668,-7.5821943,42.082336,-0.7926271,9.046346,2.3533175,6.316141,0.88360614,1.0178216,-0.87105745,-5.91766,-1.0895488,-2.753576,-5.5492396,-0.335076,-6.092286,0.9622175,0.63431156,2.8529916
Agora Hills.mp3,-104.00438,101.275085,9.58138,20.963526,3.9255621,11.318845,-1.127497,-1.3521115,4.408284,0.6449463,0.98928803,-5.8310757,-1.0515968,-1.5439346,-3.8300622,-1.6745696,-6.3943415,-3.9365506,-2.2270803,5.203532
Aguacero.mp3,-134.8192,116.01623,-2.201463,21.530403,4.4107385,7.377613,-4.682078,3.9727318,-6.146084,-0.7778706,-8.175339,-3.6166584,-3.046434,0.011602278,1.5621506,2.988367,-2.4352381,2.839035,-2.716897,-0.7479347
Ah-Bop.mp3,-213.47644,113.33423,31.045755,47.824413,5.52173,5.7926874,1.7878815,2.0982988,-8.610551,-0.36093897,-5.311821,-2.2060862,-0.4174253,1.724862,-3.4743128,6.1362514,2.3187315,2.1273315,-0.23695071,1.506015
Ahora Dice.mp3,-141.38441,114.97438,18.71893,24.162329,8.916187,1.0235428,7.9759746,1.8248823,1.3848028,9.412535,2.3132887,0.7259271,-5.1866736,-0.6064289,-3.232802,-1.6694343,-5.9377728,-3.0926936,-5.0066495,0.32678375
Ahora Me Llama.mp3,-121.74798,98.37255,-17.305748,17.316391,17.640285,-9.323116,22.788351,-10.015109,18.65423,15.119308,-12.765325,3.1992762,-15.30314,6.605754,-5.8143396,-8.630405,-3.044571,-2.9633937,-9.362573,-8.487043
Ai Preto.mp3,-171.09813,107.22441,-1.161429,1.8947554,5.291429,0.9032398,-10.290839,-1.1696477,-6.067702,-0.51345634,-4.2658353,-3.5283089,-7.1579175,-11.118344,-5.813982,-0.39940438,-6.2683873,2.7586186,-0.5806605,-2.3722517
Aigiri Nandini.mp3,-123.84219,56.547134,-16.661795,27.168434,0.68023974,-18.635382,-0.410392,-12.711775,-17.973045,-4.619532,-11.545766,-2.3789432,-15.908776,-9.449496,-15.127739,-21.210747,-12.256337,-8.571457,-4.1809144,-3.1370194
Ain't Shit.mp3,-172.20409,66.66749,10.314313,10.837685,-5.8834896,-11.72873,-6.251987,-11.481889,-7.4485664,-8.573418,-9.962268,-2.2781885,-7.675905,0.050882533,-5.827004,1.2147424,-0.8907829,-1.9326187,-4.3499107,-0.88716507
Ain't Your Mama.mp3,-113.91757,57.678818,-15.323498,2.6829884,-10.677156,-6.0201497,-0.28583407,-8.596977,-7.2560763,2.8130355,-9.894288,-2.3043792,-6.0339165,-1.4833099,-7.65227,-1.5974797,-6.048581,-2.176813,-3.0248337,-4.0518517
Akher Yawm.mp3,-198.67972,129.14246,23.531591,8.046503,2.6455123,-4.4096646,-6.0525136,-15.927499,-6.433099,-10.436162,-5.6886415,-4.0546923,1.8399394,-2.671931,-7.8064485,-6.451501,-12.845851,-7.0270476,-8.477978,-2.4627783
Alcohol-Free.mp3,-102.914764,75.01986,-13.030455,11.172154,4.676936,-4.9373374,-6.564869,-8.452106,-6.6443863,2.4704025,-10.627585,-7.246219,-10.879274,-3.704188,-5.998629,-0.54784757,-5.1860533,2.1994898,1.8482666,-2.496515
Algo Magico.mp3,-125.50815,127.03247,-1.5045205,2.4171581,2.379301,-7.0687375,-2.2828453,-2.285698,-15.424901,2.591976,-4.5306096,-1.1495258,-1.679289,-1.7986275,-2.8803542,-4.3967667,-2.9216194,-1.787351,-5.5832877,2.0478811
Ali Cabbar.mp3,-181.36095,142.4153,-25.971304,23.913939,11.788565,4.8129377,8.705612,20.231173,1.2998264,-2.9620814,1.8407117,7.829472,2.686011,-1.8086361,0.15639314,2.6747155,-2.1625016,5.911322,-0.014254732,2.1490333
All Around The World (La La La).mp3,-175.55453,88.97203,-16.333178,-7.6549206,-24.497316,-21.690199,-32.13269,-26.393234,-18.241207,-14.228247,-13.406511,-5.698077,-5.720363,-0.50300336,-5.3636584,0.40661088,-4.364514,-3.8691943,-4.4259715,-1.222248
All By Myself.mp3,-49.65231,115.36467,-10.732468,13.060621,-3.0929887,-3.0751307,-0.08602178,-7.4384713,-6.098677,-9.670375,-8.309612,-6.4300957,-10.6694,-4.2065315,-8.933104,-6.4789777,-6.999447,-5.7641506,-9.34283,-3.3698194
All Eyez on Me - Gangsta Remix.mp3,-102.44877,103.104294,11.575858,15.564747,-1.9308912,12.628646,-1.3131232,-4.425239,-1.9152442,8.980465,0.40799105,-5.6762633,-5.9908466,-2.1658313,-3.1866112,7.2957716,-0.65507257,-2.0768998,-2.5917351,2.54853
All I Want for Christmas Is You.mp3,-176.53421,67.55223,1.3678322,7.8444514,9.702098,5.5255065,7.165614,-3.7827828,0.35801622,7.579591,-10.5987,1.8604128,-8.379567,0.81977963,-5.3937063,3.3509922,-4.314007,0.35178396,-1.8409386,11.046588
All My Life (feat. J. Cole).mp3,-108.733215,82.60324,15.852497,12.813034,10.455787,0.18244825,-6.440073,-6.601941,-1.1051983,-1.6572136,-8.5380535,0.07325636,-1.5178045,-5.0983086,-1.5402837,-1.3293997,-8.360203,-0.25756198,-1.8575158,2.920186
All Out Of Fight.mp3,-204.872,87.223976,23.25468,2.3013802,5.4135494,-9.237511,3.831328,-17.45194,-14.858822,-0.17570548,-16.607304,-1.1048914,-15.0046835,-1.4752433,-6.7779937,-6.0939584,-12.83058,-2.116677,1.1715838,4.9054503
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault).mp3,-298.43555,150.81828,27.53511,33.628883,19.026756,9.424909,8.648345,-0.21035144,5.371867,-1.7780406,-0.703383,1.8307964,0.081127346,0.9717417,-2.1176236,-2.3820922,-3.8717828,-2.439324,-4.2136254,0.65736896
all-american bitch.mp3,-179.15608,98.6374,-3.4552543,2.5958788,-0.96957463,-8.15603,-0.7652275,-9.166578,-11.148362,-13.009811,-20.708986,-5.373086,-16.034939,-1.4781772,-9.782154,-6.728101,-4.9969273,1.7619551,0.65440816,-0.46879956
Alone (with Nicki Minaj).mp3,-103.46086,85.20384,11.88621,13.497758,2.091158,7.5737257,4.904791,-2.1341836,-1.8968208,4.698949,-6.5288625,5.171255,-2.1061852,2.9970455,-3.6146505,-0.4052177,-2.7408562,1.0667182,1.9112086,9.22184
"Alone, Pt. II.mp3",-130.3488,90.68071,-15.515543,21.46998,-0.59977037,-6.1471844,-1.8162936,-15.462528,-0.45523477,-5.015801,-8.466475,-2.978879,-9.777338,-4.3987355,-11.453159,-4.1080503,-2.9710567,-2.052553,-6.120145,2.2586765
