,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
Andamos Mejor.mp3,-177.64171,86.516106,27.28313,35.110577,6.191359,14.980278,16.054777,10.718575,-1.9689025,4.3929596,-0.30614415,1.4965928,3.0766697,0.92415166,-2.929029,3.1559463,-1.9065709,-0.73381144,-1.3381767,2.245798
Andas En Mi Cabeza.mp3,-60.756622,94.11026,1.0651871,24.379908,12.9522,-6.003537,1.9338173,3.0779042,-8.066918,9.1126175,-12.936521,-2.6579742,-12.379667,-3.705264,-3.9389598,-7.2656546,-3.4725058,2.082498,-4.3218746,0.25349912
ANDO.mp3,-165.00562,64.51196,-1.970655,13.564786,3.375209,6.868478,-4.956867,-5.1407723,0.9159021,-0.8200357,4.433357,3.2215931,-3.055487,-1.3364133,-3.8651829,1.7372518,-9.253528,2.9126704,-4.948445,2.661057
Angels Like You.mp3,-165.94646,63.014366,3.3032634,17.840088,-7.01709,-0.27113062,3.9567127,-8.56952,1.3279917,-7.4647923,-7.2956953,-5.1134906,-11.550543,-4.859327,-16.30934,-8.970417,-16.517662,-6.9469094,-13.817825,-3.9089363
Animals.mp3,-111.26048,60.260933,-20.679865,29.617031,-3.677356,3.9760718,-5.480314,4.1780367,-2.3813517,0.51319534,-2.1168044,-3.7981706,-1.0023686,-3.3040118,-4.993505,-3.279291,-13.186626,-1.9542671,-5.195335,8.230369
"Annihilate (Spider-Man_ Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset).mp3",-113.509895,121.155754,-4.2437506,25.831976,6.838467,11.154987,-1.8132744,9.434642,-1.3616197,7.422191,-4.803167,4.2607613,-6.5229774,0.29709992,-4.6318736,-0.6309419,0.11194418,4.408645,-1.6794747,0.92977893
Another Late Night (feat. Lil Yachty).mp3,-25.83397,92.488205,23.572933,20.906626,7.597177,14.091941,-7.824418,6.8353934,-3.5686643,10.3357935,3.0440693,12.533657,0.9978917,7.335219,2.1896353,6.3970113,0.9020127,5.4666,2.936741,5.031082
Another Love - Tiesto Remix.mp3,-132.20235,141.33777,16.055622,25.229752,22.874172,13.197617,11.676071,14.452593,6.302138,10.81173,9.10344,11.169557,4.4531016,6.4311547,3.4877431,2.139326,-1.481292,0.3972117,2.3662379,4.129818
Another Love.mp3,-370.35822,140.94797,-11.446624,1.2335063,-9.526019,-14.926516,-12.102483,-10.173614,-9.590118,-8.022972,-6.0805173,-5.381236,-6.765586,-4.169821,-4.959899,-7.546184,-9.96027,-6.4123983,-0.3286304,-0.360783
Anti-Hero.mp3,-99.46359,107.8052,-6.123551,31.712704,4.7417383,11.0053215,8.285238,4.1443458,4.4236665,9.432481,-1.6576978,6.113289,-1.6838167,3.700008,-1.3890134,2.5824323,0.5995296,4.8702397,2.8264432,6.336068
Antidepresan.mp3,-157.26303,83.95145,2.2929056,32.36692,1.1952398,10.091978,-10.815924,-0.5043283,-3.956178,11.223821,4.348318,5.2911935,0.9587879,6.672018,-0.101951525,0.34927,0.27542096,6.731592,-4.043583,-1.348968
Antidote.mp3,-114.82445,99.82202,-1.7553431,-18.187088,3.3428066,5.621585,-10.055442,-6.9299173,-6.917655,3.9270556,0.42666143,-0.01830979,-5.9575334,-2.8879995,-2.121129,1.0038416,-4.8589168,4.3747897,0.1630096,1.0152148
